sku_id,当前库存,采购入库日期,采购入库数量
1007271270102,1296,2021-02-22,1296
1008903694810,1388,2021-02-22,1388
1006671011405,1296,2021-02-22,1296
1008229644607,240,2021-02-22,240
1006379474960,180,2021-02-22,180
1001600833431,51,2021-02-22,50
1002773123030,1080,2021-02-19,1080
1008797894930,455,2021-02-18,288
1000779607858,1434,2021-02-16,500
1002234570984,600,2021-02-16,600
1008510451296,1526,2021-02-16,504
1007745381933,1007,2021-02-15,432
1000457932536,830,2021-02-15,240
1002275459307,261,2021-02-15,192
1005969737252,186,2021-02-15,36
1001717641242,962,2021-02-15,480
1006754206771,170,2021-02-15,36
1006720436590,145,2021-02-15,36
1006300454084,512,2021-02-15,480
1004212289853,7205,2021-02-15,4500
1008658951561,110,2021-02-15,48
1005321783107,567,2021-02-15,120
1007189934207,966,2021-02-15,480
1008104944389,1023,2021-02-15,720
1001584364217,310,2021-02-10,300
1005291311554,300,2021-02-10,300
1009801146872,61,2021-02-10,48
1007072813209,504,2021-02-10,504
1000547101773,75,2021-02-10,48
1006569235015,1043,2021-02-10,1870
1003372136214,200,2021-02-10,200
1000893001059,97,2021-02-10,72
1003256383085,216,2021-02-10,216
1004737526435,248,2021-02-10,216
1005706035457,1200,2021-02-10,1200
1002295372303,74,2021-02-10,48
1001029536539,241,2021-02-10,144
1008580287535,51,2021-02-10,60
1007978720794,400,2021-02-10,400
1001692282312,183,2021-02-10,168
1005084391805,140,2021-02-10,96
1007238796354,54,2021-02-10,54
1003702066060,600,2021-02-10,600
1002817359469,1620,2021-02-10,720
1006861779852,600,2021-02-10,600
1008431855064,90,2021-02-08,70
1003610993083,76,2021-02-08,60
1002285823137,112,2021-02-08,100
1002158018652,103,2021-02-08,50
1000014008898,170,2021-02-08,15
1007704245096,116,2021-02-08,50
1008680875037,132,2021-02-08,110
1003128451248,163,2021-02-08,120
1005684102194,212,2021-02-08,100
1005986669045,81,2021-02-08,50
1005729586850,119,2021-02-08,50
1004501607846,360,2021-02-08,360
1002683603089,1536,2021-02-08,1536
1000611101428,140,2021-02-08,140
1007997762719,571,2021-02-08,550
1008896770413,146,2021-02-08,50
1009306502565,458,2021-02-08,450
1004127601155,203,2021-02-08,150
1002817359469,1620,2021-02-08,900
1000020677953,472,2021-02-08,480
1001717641242,962,2021-02-05,480
1009359520218,356,2021-02-05,300
1006720436590,145,2021-02-05,108
1001553081831,89,2021-02-05,48
1007856046918,494,2021-02-05,240
1005969737252,186,2021-02-05,72
1005603846106,144,2021-02-05,144
1000295403544,81,2021-02-05,36
1006754206771,170,2021-02-05,72
1002252863975,96,2021-02-05,96
1007189934207,966,2021-02-05,480
1006070765934,209,2021-02-04,192
1000078105160,87,2021-02-04,72
1007733126591,508,2021-02-03,870
1002837290666,470,2021-02-03,720
1002680907988,420,2021-02-03,480
1007904293580,677,2021-02-03,20
1006569235015,1043,2021-02-03,1100
1007489235214,72,2021-02-03,120
1000839407958,61,2021-02-01,74
1005001133535,399,2021-01-31,400
1001600833431,51,2021-01-31,46
1006916718446,129,2021-01-30,48
1008897645942,582,2021-01-30,160
1008964949273,139,2021-01-30,9
1000301158121,728,2021-01-29,600
1000078105160,87,2021-01-29,24
1008897645942,582,2021-01-29,280
1002988190096,81,2021-01-29,65
1009219980635,51,2021-01-29,80
1000033345749,85,2021-01-29,100
1005858847421,136,2021-01-29,240
1004416608982,323,2021-01-29,480
1003278633555,1792,2021-01-29,1068
1008964949273,139,2021-01-29,156
1001790073734,270,2021-01-29,300
1006916718446,129,2021-01-29,48
1003580320765,134,2021-01-29,54
1006455382404,345,2021-01-29,200
1002715377509,516,2021-01-29,200
1009577477397,425,2021-01-28,492
1002561841170,289,2021-01-28,289
1009742239476,96,2021-01-28,96
1005812923656,89,2021-01-28,124
1001407582531,81,2021-01-28,120
1009173918142,180,2021-01-28,180
1001443808757,59,2021-01-28,200
1008385447248,185,2021-01-28,234
1003778878629,61,2021-01-28,79
1003360516109,1445,2021-01-28,1542
1000653497220,1278,2021-01-28,1571
1004996536123,94,2021-01-28,117
1006378428958,188,2021-01-28,120
1003403279574,54,2021-01-28,19
1006329660659,165,2021-01-28,140
1001027488220,56,2021-01-28,48
1000224180757,280,2021-01-28,287
1007870496882,497,2021-01-28,508
1008072925333,593,2021-01-28,30
1009449526412,404,2021-01-28,408
1005341626184,329,2021-01-28,441
1000301158121,728,2021-01-28,192
1005417362907,248,2021-01-28,290
1008577399571,79,2021-01-28,101
1006650595597,118,2021-01-28,132
1005549840788,144,2021-01-28,144
1000038534596,236,2021-01-28,210
1003711126501,85,2021-01-28,81
1001075898768,96,2021-01-27,96
1003549029773,2160,2021-01-27,2160
1003210684777,77,2021-01-27,48
1005844687452,576,2021-01-27,149
1000374761960,198,2021-01-27,264
1005867226553,312,2021-01-27,420
1002211933090,71,2021-01-27,100
1000301158121,728,2021-01-27,408
1006997215673,340,2021-01-27,320
1004136037976,96,2021-01-27,96
1004135022517,192,2021-01-27,192
1002895933852,272,2021-01-27,60
1008547227824,228,2021-01-27,105
1003017465972,1385,2021-01-27,1080
1001455604922,118,2021-01-27,47
1001750751337,777,2021-01-27,432
1006422645154,326,2021-01-27,360
1002228681832,497,2021-01-27,540
1008743148362,80,2021-01-27,160
1007919997776,125,2021-01-27,120
1000598322613,74,2021-01-27,105
1007201187477,508,2021-01-27,540
1004415391473,511,2021-01-27,450
1000894015150,116,2021-01-27,100
1008402239751,98,2021-01-27,72
1008650410866,240,2021-01-27,240
1008589106044,216,2021-01-27,150
1000736272040,179,2021-01-27,120
1003278633555,1792,2021-01-27,1068
1005001133535,399,2021-01-26,400
1001600833431,51,2021-01-26,54
1006152324227,52,2021-01-25,76
1003403279574,54,2021-01-25,24
1008885513937,54,2021-01-25,60
1001778505782,180,2021-01-25,180
1006921650148,120,2021-01-25,120
1004751059413,133,2021-01-25,90
1009321759873,300,2021-01-25,300
1008054075572,180,2021-01-25,180
1008473013018,287,2021-01-25,90
1004955077045,1650,2021-01-24,1749
